source,time_since_cmd,x,y,z
cmd_pose,1.308649062,20.0,0.0,0.0
odom,1.330228501,1.0909334017918781,-0.07454363250412706,-0.26982555835921723
odom,1.381039497,1.0970033679628277,-0.07942340275803071,-0.2796800683251336
cmd_pose,1.407487127,20.0,0.0,0.0
odom,1.431117521,1.10332358469595,-0.08449244820976567,-0.28965995835030245
odom,1.481353674,1.1099115323589361,-0.08975814259492217,-0.2997638410265798
cmd_pose,1.507654519,20.0,0.0,0.0
odom,1.531460306,1.1167585125818271,-0.09521829787777239,-0.3099837779117101
odom,1.582397641,1.123882912838577,-0.10088093725518682,-0.32031871497862274
cmd_pose,1.607450332,20.0,0.0,0.0
odom,1.632626709,1.131275623224477,-0.10674362406806105,-0.3307599293295247
odom,1.682772266,1.1389556570565138,-0.11281443151406972,-0.34130629957269515
cmd_pose,1.707490653,20.0,0.0,0.0
odom,1.73289196,1.1469134609065739,-0.11909087010690829,-0.3519484830823983
odom,1.783991479,1.155168537961936,-0.12558074678592993,-0.3626850116368101
cmd_pose,1.807388599,20.0,0.0,0.0
odom,1.833549992,1.1637109763206843,-0.13228335726014118,-0.37350607671416086
odom,1.883191248,1.1725610888160192,-0.13921327792569785,-0.38441030692858147
cmd_pose,1.908071167,20.0,0.0,0.0
odom,1.934885019,1.1817085609010292,-0.14636710858169205,-0.3953885873131194
odom,1.98511197,1.1911742801764884,-0.1537579644870877,-0.4064400767462607
cmd_pose,2.00767784,20.0,0.0,0.0
odom,2.039963808,1.2009474567159728,-0.1613784942670336,-0.4175567240729424
odom,2.087918633,1.2110494210004743,-0.16923875448593792,-0.4287381748801835
cmd_pose,2.107693174,20.0,0.0,0.0
odom,2.139663257,1.2214688794325033,-0.1773281226924338,-0.4399774527761957
odom,2.18925243,1.2322275457546537,-0.18565411709995,-0.4512744621532072
cmd_pose,2.20873902,20.0,0.0,0.0
odom,2.255279932,1.243332357985356,-0.19421388436190923,-0.46262446265112134
odom,2.305266621,1.2547905954414167,-0.203005489180917,-0.47402644090387364
cmd_pose,2.307300943,20.0,0.0,0.0
odom,2.355483459,1.2666039702467182,-0.21202225088684834,-0.4854758960352686
