source,time_since_cmd,x,y,z
cmd_pose,8.4012e-05,20.0,0.0,0.0
odom,0.05029108,1.6403467020724414,-0.005862797801767348,-0.031628021166754415
odom,0.050886734,1.6403467020724414,-0.005862797801767348,-0.031628021166754415
cmd_pose,0.099144058,20.0,0.0,0.0
odom,0.100426893,1.7125348567236751,-0.00620094521701244,-0.033787604583144025
odom,0.100714431,1.7125348567236751,-0.00620094521701244,-0.033787604583144025
odom,0.150666082,1.785247070474023,-0.0065396455252683386,-0.03695506680807531
odom,0.151722831,1.785247070474023,-0.0065396455252683386,-0.03695506680807531
cmd_pose,0.199266595,20.0,0.0,0.0
odom,0.200974668,1.858231257449388,-0.006976294875121479,-0.04169207317434494
odom,0.201302306,1.858231257449388,-0.006976294875121479,-0.04169207317434494
odom,0.251545079,1.9312681262184708,-0.007602145839630899,-0.048078942210061607
odom,0.252644971,1.9312681262184708,-0.007602145839630899,-0.048078942210061607
cmd_pose,0.29922054,20.0,0.0,0.0
odom,0.301660089,2.004157676512873,-0.008524428771431943,-0.05614905587979372
odom,0.302119777,2.004157676512873,-0.008524428771431943,-0.05614905587979372
odom,0.355088,2.076660410125139,-0.009913931202197527,-0.06588835276305087
odom,0.356152614,2.076660410125139,-0.009913931202197527,-0.06588835276305087
cmd_pose,0.399696525,20.0,0.0,0.0
odom,0.403718754,2.148659023139653,-0.01185575211571046,-0.07709075558020954
odom,0.405823236,2.148659023139653,-0.01185575211571046,-0.07709075558020954
odom,0.455794463,2.2202200933020904,-0.014266165477712017,-0.08938290917596524
odom,0.456208676,2.2202200933020904,-0.014266165477712017,-0.08938290917596524
cmd_pose,0.499459009,20.0,0.0,0.0
odom,0.506531827,2.2908886087999316,-0.017582420746635376,-0.10284382751316672
odom,0.508011706,2.2908886087999316,-0.017582420746635376,-0.10284382751316672
odom,0.556293706,2.3607430830069283,-0.021818263289671354,-0.11727283546198436
odom,0.556797032,2.3607430830069283,-0.021818263289671354,-0.11727283546198436
cmd_pose,0.599838261,20.0,0.0,0.0
odom,0.606633034,2.429555321445365,-0.02725007200922929,-0.1325825862148621
odom,0.607241911,2.429555321445365,-0.02725007200922929,-0.1325825862148621
odom,0.658519535,2.497627039803062,-0.03371821589371493,-0.14860380608599116
odom,0.659306506,2.497627039803062,-0.03371821589371493,-0.14860380608599116
cmd_pose,0.699705083,20.0,0.0,0.0
odom,0.708702792,2.5643141000221434,-0.041926085023832806,-0.16529276240895466
odom,0.709383576,2.5643141000221434,-0.041926085023832806,-0.16529276240895466
odom,0.760413639,2.630128628052465,-0.05153681130856242,-0.18258843070913375
odom,0.762026166,2.630128628052465,-0.05153681130856242,-0.18258843070913375
cmd_pose,0.799616569,20.0,0.0,0.0
odom,0.809920527,2.694594809636505,-0.06310793001703811,-0.200348110248377
odom,0.81097113,2.694594809636505,-0.06310793001703811,-0.200348110248377
odom,0.862700062,2.758039761790757,-0.07642713627853678,-0.21852522718910977
odom,0.864172883,2.758039761790757,-0.07642713627853678,-0.21852522718910977
cmd_pose,0.899066882,20.0,0.0,0.0
odom,0.910438355,2.8206570954808803,-0.09126852899414695,-0.23708286195587952
odom,0.912275831,2.8206570954808803,-0.09126852899414695,-0.23708286195587952
odom,0.961252884,2.8826470093309924,-0.10741301501684876,-0.25596573055757216
odom,0.963660187,2.8826470093309924,-0.10741301501684876,-0.25596573055757216
cmd_pose,0.999230834,20.0,0.0,0.0
odom,1.010171619,2.9441058210654436,-0.12464627234337983,-0.27505040152504523
odom,1.010894805,2.9441058210654436,-0.12464627234337983,-0.27505040152504523
odom,1.06017789,3.0051592324895116,-0.14275687299067158,-0.29426435232834414
odom,1.060683591,3.0051592324895116,-0.14275687299067158,-0.29426435232834414
cmd_pose,1.100129326,20.0,0.0,0.0
odom,1.111168405,3.065770495370534,-0.16155566175565805,-0.313494759695833
odom,1.113082418,3.065770495370534,-0.16155566175565805,-0.313494759695833
odom,1.163073618,3.1259223191820062,-0.1808241885828496,-0.33253964896102284
odom,1.164287864,3.1259223191820062,-0.1808241885828496,-0.33253964896102284
cmd_pose,1.199486503,20.0,0.0,0.0
odom,1.211042822,3.1855395681194705,-0.20037405275842732,-0.35115272946486853
odom,1.211542378,3.1855395681194705,-0.20037405275842732,-0.35115272946486853
odom,1.261567114,3.2446236497737457,-0.22004787397824135,-0.36932172760766857
odom,1.262118427,3.2446236497737457,-0.22004787397824135,-0.36932172760766857
cmd_pose,1.299773521,20.0,0.0,0.0
odom,1.312148679,3.3031334712984712,-0.2397170234718742,-0.3869238628846246
odom,1.313071858,3.3031334712984712,-0.2397170234718742,-0.3869238628846246
odom,1.362038644,3.361110667607882,-0.25925319547613257,-0.40390129207032166
odom,1.362623132,3.361110667607882,-0.25925319547613257,-0.40390129207032166
cmd_pose,1.399193108,20.0,0.0,0.0
odom,1.412189392,3.419042539711857,-0.2786923449848868,-0.42029287134121646
odom,1.413457273,3.419042539711857,-0.2786923449848868,-0.42029287134121646
odom,1.462083365,3.4771303621148695,-0.2979461865387384,-0.4360331768010716
odom,1.462520777,3.4771303621148695,-0.2979461865387384,-0.4360331768010716
cmd_pose,1.499745869,20.0,0.0,0.0
odom,1.512313142,3.5353493244337177,-0.3169513530618819,-0.45107347362834993
odom,1.513209358,3.5353493244337177,-0.3169513530618819,-0.45107347362834993
odom,1.564157936,3.5936707359238764,-0.33560994454408816,-0.46529712609485047
odom,1.564977993,3.5936707359238764,-0.33560994454408816,-0.46529712609485047
cmd_pose,1.599684565,20.0,0.0,0.0
odom,1.613282525,3.652096339813311,-0.35386817717874125,-0.478770640111157
odom,1.614222127,3.652096339813311,-0.35386817717874125,-0.478770640111157
odom,1.664423306,3.710630387018327,-0.3716507512095531,-0.49155208539335676
odom,1.665254897,3.710630387018327,-0.3716507512095531,-0.49155208539335676
cmd_pose,1.699396078,20.0,0.0,0.0
odom,1.713495961,3.769260047160343,-0.38892247987554407,-0.5035771447234485
odom,1.714268447,3.769260047160343,-0.38892247987554407,-0.5035771447234485
odom,1.76354524,3.8279892994017883,-0.40563072340960227,-0.5148786568770437
odom,1.764102941,3.8279892994017883,-0.40563072340960227,-0.5148786568770437
cmd_pose,1.799334595,20.0,0.0,0.0
odom,1.813935006,3.886798300224751,-0.42175632703944727,-0.5253091439316712
odom,1.815253968,3.886798300224751,-0.42175632703944727,-0.5253091439316712
odom,1.863761323,3.9456920510007967,-0.4372640119133652,-0.534910124139038
odom,1.864183576,3.9456920510007967,-0.4372640119133652,-0.534910124139038
cmd_pose,1.899212339,20.0,0.0,0.0
odom,1.916088789,4.004667309235162,-0.45213901315358446,-0.5436575655886265
odom,1.91729745,4.004667309235162,-0.45213901315358446,-0.5436575655886265
odom,1.964506597,4.063738522127165,-0.4663547120323,-0.5516796851857877
odom,1.965595397,4.063738522127165,-0.4663547120323,-0.5516796851857877
cmd_pose,1.999543418,20.0,0.0,0.0
odom,2.014521418,4.122900559761033,-0.4799039126317949,-0.5589507120313486
odom,2.016333562,4.122900559761033,-0.4799039126317949,-0.5589507120313486
odom,2.064399173,4.182160644254196,-0.4927721197563557,-0.5655523990269123
odom,2.064865025,4.182160644254196,-0.4927721197563557,-0.5655523990269123
cmd_pose,2.100041742,20.0,0.0,0.0
odom,2.11562923,4.241515332220698,-0.5049570050132235,-0.5714832909067175
odom,2.116634574,4.241515332220698,-0.5049570050132235,-0.5714832909067175
odom,2.165538507,4.300968436626376,-0.5164524573927832,-0.5768129162154768
odom,2.166205804,4.300968436626376,-0.5164524573927832,-0.5768129162154768
cmd_pose,2.199360249,20.0,0.0,0.0
odom,2.216129955,4.360521593682549,-0.5272575240524381,-0.5815918779588487
odom,2.216718973,4.360521593682549,-0.5272575240524381,-0.5815918779588487
odom,2.265998161,4.420170320861553,-0.5373741762650168,-0.5858476007875243
odom,2.266644464,4.420170320861553,-0.5373741762650168,-0.5858476007875243
cmd_pose,2.2993215,20.0,0.0,0.0
odom,2.316634396,4.47992270407087,-0.5468019747928903,-0.5896750722322851
odom,2.317932351,4.47992270407087,-0.5468019747928903,-0.5896750722322851
odom,2.3658555,4.539771806867966,-0.5555467032665831,-0.5931013919665338
odom,2.366344729,4.539771806867966,-0.5555467032665831,-0.5931013919665338
cmd_pose,2.39952545,20.0,0.0,0.0
odom,2.416247346,4.599721825208799,-0.5636112104473803,-0.596199073218925
odom,2.417006973,4.599721825208799,-0.5636112104473803,-0.596199073218925
odom,2.46707575,4.659768085807507,-0.5710032635727075,-0.5990045969015467
odom,2.467985604,4.659768085807507,-0.5710032635727075,-0.5990045969015467
cmd_pose,2.499515405,20.0,0.0,0.0
odom,2.51860216,4.719913819107367,-0.5777271229977073,-0.6015801251398312
odom,2.519816234,4.719913819107367,-0.5777271229977073,-0.6015801251398312
odom,2.567104276,4.780147021164803,-0.5837930963656376,-0.6039517165638871
odom,2.567648129,4.780147021164803,-0.5837930963656376,-0.6039517165638871
cmd_pose,2.599295056,20.0,0.0,0.0
odom,2.62181441,4.8404628121480515,-0.5892069421609096,-0.6061733125828782
odom,2.623006079,4.8404628121480515,-0.5892069421609096,-0.6061733125828782
odom,2.668666329,4.900856262613621,-0.5939794944373825,-0.6082706346542682
odom,2.670326405,4.900856262613621,-0.5939794944373825,-0.6082706346542682
cmd_pose,2.70006244,20.0,0.0,0.0
odom,2.719896802,4.961323118744577,-0.5981164739766914,-0.6102953635321704
odom,2.721182255,4.961323118744577,-0.5981164739766914,-0.6102953635321704
odom,2.769440321,5.021858231031427,-0.6016294712375817,-0.6122578421655809
odom,2.77048877,5.021858231031427,-0.6016294712375817,-0.6122578421655809
cmd_pose,2.800053637,20.0,0.0,0.0
odom,2.820207654,5.0824542744080725,-0.6045256190774817,-0.6142098518427459
odom,2.82126208,5.0824542744080725,-0.6045256190774817,-0.6142098518427459
odom,2.869639239,5.143106594350984,-0.6068153522355353,-0.6161420337504301
odom,2.870372204,5.143106594350984,-0.6068153522355353,-0.6161420337504301
cmd_pose,2.899913625,20.0,0.0,0.0
odom,2.919907112,5.20380892684753,-0.6085067974702032,-0.6180739039769467
odom,2.921597989,5.20380892684753,-0.6085067974702032,-0.6180739039769467
odom,2.96991938,5.264552159619601,-0.6096079446745641,-0.6200300059478218
odom,2.971310061,5.264552159619601,-0.6096079446745641,-0.6200300059478218
cmd_pose,2.999496797,20.0,0.0,0.0
odom,3.020286297,5.325329775334024,-0.6101261350853247,-0.6220262888178572
odom,3.021344406,5.325329775334024,-0.6101261350853247,-0.6220262888178572
odom,3.069567293,5.386132446897611,-0.6100688696674481,-0.624081193675708
odom,3.069918207,5.386132446897611,-0.6100688696674481,-0.624081193675708
cmd_pose,3.09910593,20.0,0.0,0.0
odom,3.120478657,5.446953110464886,-0.6094427656565842,-0.6262055121583058
odom,3.121348075,5.446953110464886,-0.6094427656565842,-0.6262055121583058
odom,3.170500246,5.507782066880133,-0.6082541850665484,-0.6284143429960866
odom,3.17244221,5.507782066880133,-0.6082541850665484,-0.6284143429960866
cmd_pose,3.199448699,20.0,0.0,0.0
odom,3.222999363,5.5686106798265325,-0.6065085739585868,-0.6307283573346563
odom,3.224867635,5.5686106798265325,-0.6065085739585868,-0.6307283573346563
odom,3.280549692,5.629430705772256,-0.6042151126792209,-0.6330989067070514
odom,3.281440636,5.629430705772256,-0.6042151126792209,-0.6330989067070514
cmd_pose,3.299519527,20.0,0.0,0.0
odom,3.330748942,5.69023307143271,-0.6013782221029014,-0.6355612294455093
odom,3.332008028,5.69023307143271,-0.6013782221029014,-0.6355612294455093
odom,3.38223954,5.751009213094615,-0.5980038173510496,-0.6381130590179913
odom,3.384653071,5.751009213094615,-0.5980038173510496,-0.6381130590179913
cmd_pose,3.399860044,20.0,0.0,0.0
odom,3.432454073,5.8117494765474715,-0.594098018379406,-0.6407350751165475
odom,3.433772883,5.8117494765474715,-0.594098018379406,-0.6407350751165475
odom,3.482536141,5.872446190887972,-0.5896667738567061,-0.643415513812434
odom,3.48484935,5.872446190887972,-0.5896667738567061,-0.643415513812434
cmd_pose,3.499779282,20.0,0.0,0.0
odom,3.532830948,5.933090733079893,-0.5847153411280848,-0.6461368167986725
odom,3.534046731,5.933090733079893,-0.5847153411280848,-0.6461368167986725
odom,3.584005275,5.993675495341464,-0.57924920644786,-0.6488931853994242
odom,3.585641414,5.993675495341464,-0.57924920644786,-0.6488931853994242
cmd_pose,3.599941295,20.0,0.0,0.0
odom,3.632871455,6.054194487475557,-0.5732730755500843,-0.6516576613278239
odom,3.633320424,6.054194487475557,-0.5732730755500843,-0.6516576613278239
odom,3.683664166,6.114638058756134,-0.5667921116213196,-0.6544317486232814
odom,3.684943821,6.114638058756134,-0.5667921116213196,-0.6544317486232814
cmd_pose,3.699395217,20.0,0.0,0.0
odom,3.734385666,6.174998624471783,-0.5598106217165586,-0.6572004699848809
odom,3.735479574,6.174998624471783,-0.5598106217165586,-0.6572004699848809
odom,3.783839354,6.235271657621399,-0.5523332380810597,-0.6599525726006671
odom,3.784198385,6.235271657621399,-0.5523332380810597,-0.6599525726006671
cmd_pose,3.799880322,20.0,0.0,0.0
odom,3.834415773,6.295448830864611,-0.5443647251099256,-0.6626715173679947
odom,3.836074953,6.295448830864611,-0.5443647251099256,-0.6626715173679947
odom,3.891935465,6.355527546683282,-0.5359089490588643,-0.665349310828882
odom,3.892236025,6.355527546683282,-0.5359089490588643,-0.665349310828882
cmd_pose,3.899009423,20.0,0.0,0.0
odom,3.942087981,6.415500066822117,-0.5269711449962685,-0.6679707325442751
odom,3.94240888,6.415500066822117,-0.5269711449962685,-0.6679707325442751
odom,3.992801404,6.475363672456357,-0.5175546660106116,-0.6705271232339335
odom,3.994115937,6.475363672456357,-0.5175546660106116,-0.6705271232339335
cmd_pose,3.999362126,20.0,0.0,0.0
odom,4.042860142,6.535110055623313,-0.5076664160299021,-0.6729979106474377
odom,4.04464226,6.535110055623313,-0.5076664160299021,-0.6729979106474377
odom,4.093641128,6.594733909727103,-0.4973113668006739,-0.6753663018779794
odom,4.094124099,6.594733909727103,-0.4973113668006739,-0.6753663018779794
cmd_pose,4.099077347,20.0,0.0,0.0
odom,4.144322766,6.654235207980744,-0.48649321214271346,-0.6776331247306494
odom,4.145485076,6.654235207980744,-0.48649321214271346,-0.6776331247306494
odom,4.196556708,6.713612189985263,-0.4752151902711746,-0.679794066774301
odom,4.197958249,6.713612189985263,-0.4752151902711746,-0.679794066774301
cmd_pose,4.200477382,20.0,0.0,0.0
odom,4.24594877,6.772859142934704,-0.4634849799082334,-0.6818289460812874
odom,4.248153851,6.772859142934704,-0.4634849799082334,-0.6818289460812874
odom,4.294652259,6.831975853888764,-0.45130565607653605,-0.6837368831502512
odom,4.295447511,6.831975853888764,-0.45130565607653605,-0.6837368831502512
cmd_pose,4.299212848,20.0,0.0,0.0
odom,4.34480567,6.890957284919229,-0.4386855650684231,-0.685496808435756
odom,4.34536724,6.890957284919229,-0.4386855650684231,-0.685496808435756
odom,4.39493701,6.949804278891899,-0.42562780128736977,-0.6871114069401603
odom,4.395454063,6.949804278891899,-0.42562780128736977,-0.6871114069401603
cmd_pose,4.399466058,20.0,0.0,0.0
odom,4.445524458,7.008512497710928,-0.41214134617462717,-0.6885593816561046
odom,4.446385947,7.008512497710928,-0.41214134617462717,-0.6885593816561046
odom,4.495557486,7.067084083655785,-0.39822914008706456,-0.6898482829628078
odom,4.496706332,7.067084083655785,-0.39822914008706456,-0.6898482829628078
cmd_pose,4.499672033,20.0,0.0,0.0
odom,4.54645333,7.125513076034726,-0.38390259995746323,-0.6909443560631531
odom,4.547315889,7.125513076034726,-0.38390259995746323,-0.6909443560631531
odom,4.597097915,7.183802478407418,-0.36916506085013256,-0.6918570981021953
odom,4.598374812,7.183802478407418,-0.36916506085013256,-0.6918570981021953
cmd_pose,4.599220909,20.0,0.0,0.0
odom,4.64677997,7.241951179218618,-0.3540253064491217,-0.692574803625627
odom,4.647331896,7.241951179218618,-0.3540253064491217,-0.692574803625627
odom,4.697099425,7.299960379349051,-0.33848897547067935,-0.6930957315774663
odom,4.697698788,7.299960379349051,-0.33848897547067935,-0.6930957315774663
cmd_pose,4.7001597,20.0,0.0,0.0
odom,4.747317223,7.357830684489372,-0.32256454947865776,-0.6934142498197947
odom,4.748123833,7.357830684489372,-0.32256454947865776,-0.6934142498197947
odom,4.797063246,7.415562525908717,-0.30625937373319273,-0.6935210287690086
odom,4.797595307,7.415562525908717,-0.30625937373319273,-0.6935210287690086
cmd_pose,4.799907273,20.0,0.0,0.0
odom,4.849421292,7.47316294159887,-0.2895772359809794,-0.6934466997165512
odom,4.851367436,7.47316294159887,-0.2895772359809794,-0.6934466997165512
odom,4.898296295,7.530630642674189,-0.2725275734393778,-0.6931699977189707
odom,4.899507154,7.530630642674189,-0.2725275734393778,-0.6931699977189707
cmd_pose,4.899943946,20.0,0.0,0.0
odom,4.949380949,7.587968802350232,-0.2551185127853609,-0.6926967345863078
odom,4.95150236,7.587968802350232,-0.2551185127853609,-0.6926967345863078
odom,4.999077281,7.645178485985859,-0.23735833135526865,-0.6920160212891363
odom,4.999592229,7.645178485985859,-0.23735833135526865,-0.6920160212891363
cmd_pose,4.999833577,20.0,0.0,0.0
odom,5.04864501,7.702261935898751,-0.21925679275422758,-0.6911263747930184
odom,5.04969699,7.702261935898751,-0.21925679275422758,-0.6911263747930184
odom,5.099261128,7.759222217180112,-0.20082111267120456,-0.6900276789361797
odom,5.100043294,7.759222217180112,-0.20082111267120456,-0.6900276789361797
cmd_pose,5.100313477,20.0,0.0,0.0
odom,5.149061792,7.816063471832719,-0.1820597540627763,-0.6887292817702511
odom,5.149840607,7.816063471832719,-0.1820597540627763,-0.6887292817702511
odom,5.199586462,7.872785892938393,-0.16298455941781115,-0.6872124116917384
odom,5.200634159,7.872785892938393,-0.16298455941781115,-0.6872124116917384
cmd_pose,5.200912985,20.0,0.0,0.0
odom,5.250979646,7.929394883632013,-0.14360236722141503,-0.6854901796130629
odom,5.252637034,7.929394883632013,-0.14360236722141503,-0.6854901796130629
cmd_pose,5.299449239,20.0,0.0,0.0
odom,5.301263339,7.985892648975646,-0.12392367209256308,-0.6835551342470625
odom,5.303575046,7.985892648975646,-0.12392367209256308,-0.6835551342470625
odom,5.350290439,8.042284732296412,-0.10395561497294813,-0.6814199524176267
odom,5.351012457,8.042284732296412,-0.10395561497294813,-0.6814199524176267
cmd_pose,5.400434684,20.0,0.0,0.0
odom,5.402970331,8.09857306491776,-0.08370965310546555,-0.679074117443299
odom,5.403912848,8.09857306491776,-0.08370965310546555,-0.679074117443299
odom,5.451197892,8.154764877565478,-0.06319064719318361,-0.6765400623030179
odom,5.452495738,8.154764877565478,-0.06319064719318361,-0.6765400623030179
cmd_pose,5.499763922,20.0,0.0,0.0
odom,5.500916741,8.210860834173413,-0.04241247521142707,-0.6737972468284622
odom,5.501346542,8.210860834173413,-0.04241247521142707,-0.6737972468284622
odom,5.551313453,8.266867679469348,-0.021381054710840678,-0.6708641527207009
odom,5.552105176,8.266867679469348,-0.021381054710840678,-0.6708641527207009
cmd_pose,5.600077305,20.0,0.0,0.0
odom,5.601379357,8.322787834521108,-0.00010907095789829818,-0.6677309728984534
odom,5.601666436,8.322787834521108,-0.00010907095789829818,-0.6677309728984534
odom,5.6532061,8.378631661843027,0.021402299671537516,-0.6644423635690634
odom,5.655057987,8.378631661843027,0.021402299671537516,-0.6644423635690634
cmd_pose,5.699888967,20.0,0.0,0.0
odom,5.704422799,8.434399873252477,0.04313826053697514,-0.6609756554379256
odom,5.705691554,8.434399873252477,0.04313826053697514,-0.6609756554379256
odom,5.752367432,8.490095939058447,0.06508866446638119,-0.6573257502872626
odom,5.752908075,8.490095939058447,0.06508866446638119,-0.6573257502872626
cmd_pose,5.800067657,20.0,0.0,0.0
odom,5.803452056,8.545724444016322,0.0872433878261893,-0.6534971822097821
odom,5.804525623,8.545724444016322,0.0872433878261893,-0.6534971822097821
