source,time_since_cmd,x,y,z,qx,qy,qz,qw,vx,vy,vz,ax,ay,az
cmd_pose,5.8738e-05,0.0,0.0,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mpu,0.021962633,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,-0.06,14.780000000000001
odom,0.022372787,-8.674460860497132e-05,5.998617543800348e-06,-9.897169345501917,6.252495121277003e-06,0.0006499463642972885,-0.0006722157725344,0.9999995628281969,-0.0002768807034674458,4.203569408475435e-06,0.1299646234829045,0.0,0.0,0.0
odom,0.072636909,-0.00016986724467946387,5.732579650445391e-06,-9.88546284631529,1.5368086169966767e-05,0.0006207123275645394,-0.0007913220978087751,0.999999494144555,-0.0011473435754360082,-1.792680726299391e-06,0.18490765892489663,0.0,0.0,0.0
cmd_pose,0.099561227,0.0,0.0,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.124606041,-0.00030684800567673466,7.286107026820045e-06,-9.867752311799263,2.0551299347462115e-05,0.0005680083425795069,-0.0008939936967633901,0.9999994388595611,-0.0025581022478798313,1.850105179705198e-05,0.2941674534006595,0.0,0.0,0.0
mpu,0.125311615,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.02,13.91
odom,0.172889257,-0.00043969449778875506,1.1201720825500544e-05,-9.844918960859145,2.1147105509792715e-05,0.0004956961551775518,-0.0009726928886964096,0.9999994038531552,-0.0031468084657464606,6.58178250037045e-05,0.4054355832756982,0.0,0.0,0.0
cmd_pose,0.199544711,0.0,0.0,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mpu,0.223827577,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.005,0.045,13.265
odom,0.224519231,-0.000503415332076503,1.5648145352390568e-05,-9.817176261910973,1.851809896998392e-05,0.00040639057068972005,-0.001026554974621929,0.9999993903441482,-0.0024508931818301447,9.999707960185737e-05,0.50575827958489,0.0,0.0,0.0
odom,0.274647953,-0.0005000708671792322,1.8948307498329427e-05,-9.78560826004009,1.5894574412930392e-05,0.0003007963594267643,-0.0010615204240562136,0.9999993912214656,-0.0010661086751164717,9.735197007282296e-05,0.5931062587718778,0.0,0.0,0.0
cmd_pose,0.300082879,0.0,0.0,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.323788,-0.0004788294226361107,2.0292132098160977e-05,-9.750544305003428,1.5095245002008754e-05,0.00017929686811710526,-0.0010850430887268338,0.9999993951529482,-0.00013108088300549516,6.810887726723816e-05,0.6663195657839872,0.0,0.0,0.0
mpu,0.324635063,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.05,0.025,12.64
