source,time_since_cmd,x,y,z,qx,qy,qz,qw,vx,vy,vz,ax,ay,az
mpu,0.201235417,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.045,-0.005,10.015
odom,0.251168971,-0.0001175841182900101,0.0004293159755126898,-10.107722010502465,9.031002866214288e-05,0.00037695898136106803,-0.008737300587235292,0.9999617539308557,-0.0007735062277173192,-7.534032611560451e-05,0.5406295610700771,0.0,0.0,0.0
cmd_pose,0.300431476,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.301419027,-9.783004044142636e-05,0.000424359098226916,-10.076347388098814,6.8834836224803e-05,0.0002661840060157911,-0.008739470754912425,0.9999617722987035,-0.00022903279449403455,-2.555183611747887e-05,0.6070557247211286,0.0,0.0,0.0
mpu,0.301817837,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.035,-0.015,7.815
odom,0.352116134,-6.982472551134451e-05,0.0004221768535098515,-10.044320390274152,4.607905842659203e-05,0.00015299285542073188,-0.008709768242817861,0.9999620564836763,0.00015615089566831632,1.8231752376380424e-05,0.6340163513838608,0.0,0.0,0.0
cmd_pose,0.399909055,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.403354538,-5.457614046679552e-05,0.0004187885169776413,-10.01419750861441,2.2626852517255364e-05,4.754170110205286e-05,-0.00864288281422565,0.9999626482046575,0.00025205715551403945,5.084665959965006e-06,0.6214989064415724,0.0,0.0,0.0
mpu,0.405366122,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.01,-0.04,6.985
odom,0.453529165,-5.161380717983108e-05,0.0004118784317535716,-9.98570879750499,-1.2583630081138048e-07,-4.78530339205059e-05,-0.008576106290747782,0.9999632233792206,0.000135461714690174,-7.573576728077066e-05,0.5861159547929715,0.0,0.0,0.0
cmd_pose,0.500239273,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.503975403,-5.233392228406255e-05,0.00040278147016584897,-9.958424422851342,-2.1648557166648752e-05,-0.00013585636786219685,-0.008532356611037815,0.9999635893196558,8.596624588803743e-05,-0.0001610976280970703,0.5577308518595495,0.0,0.0,0.0
mpu,0.505148696,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.01,0.005,7.845
odom,0.555647145,-4.784505491941159e-05,0.00039283139465145085,-9.9315285438973,-4.2611388881556517e-05,-0.0002186895461373242,-0.008502038221399041,0.999963832198562,0.00019615633066262083,-0.00021398887240315465,0.5418024842479996,0.0,0.0,0.0
cmd_pose,0.600161268,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mpu,0.607758436,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.025,-0.045,8.61
odom,0.610182857,-3.578064417451047e-05,0.0003845032485631451,-9.904819127938218,-6.330001196247172e-05,-0.00029880089112359386,-0.008480792049587163,0.9999639907903423,0.0004115450348921242,-0.00022566398443225923,0.5360527898941564,0.0,0.0,0.0
odom,0.656785284,-1.855359726182908e-05,0.0003776792988609749,-9.87815674223069,-8.39850374737017e-05,-0.00037607571184599526,-0.008459000902192641,0.9999641477659632,0.0006227783240201129,-0.0002134929815700509,0.533717705397765,0.0,0.0,0.0
cmd_pose,0.699606941,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.707674464,-4.479011124214245e-06,0.0003715178335224946,-9.851918298291075,-0.00010445475596870278,-0.00044997750793966413,-0.008434014323597043,0.999964326369614,0.0007208168967461623,-0.00021196766294908652,0.5290078720119871,0.0,0.0,0.0
mpu,0.708416456,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.005,-0.045,8.425
odom,0.757156578,5.317689442171869e-06,0.00036503797407543443,-9.826047706317112,-0.0001249101403231722,-0.0005195633080953976,-0.00840623962590457,0.9999645241641213,0.0007170215092538138,-0.00022922843262731222,0.5210898873010802,0.0,0.0,0.0
cmd_pose,0.799855772,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.808228947,1.27509062829478e-05,0.0003577382026422408,-9.800773747128261,-0.0001452678070986355,-0.0005846447115036259,-0.008378515954641891,0.9999647181567074,0.0007127180333684196,-0.00026003711203605374,0.5114449965506948,0.0,0.0,0.0
mpu,0.809359392,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.05,0.0,8.44
odom,0.858686723,2.1580679209324227e-05,0.00034962932864149933,-9.775898960382904,-0.00016551526909104416,-0.0006450502485626142,-0.00835122878725689,0.9999649061305178,0.0007579234540358591,-0.0002939736713395738,0.5014868475352185,0.0,0.0,0.0
cmd_pose,0.900092348,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mpu,0.908467477,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.015,0.01,8.620000000000001
odom,0.909813451,3.360690302688e-05,0.0003414828336358964,-9.751511343790932,-0.00018553748047963505,-0.0007013930013715177,-0.008326581898034433,0.9999650702187534,0.0008528542083698397,-0.0003185664761182158,0.49262325914136024,0.0,0.0,0.0
odom,0.958060983,4.8307406656177634e-05,0.0003334736447036321,-9.727436400182077,-0.00020536944839810216,-0.0007536918461908962,-0.00830243199916392,0.999965229092937,0.0009555861427542089,-0.0003330112258239056,0.4846246430643271,0.0,0.0,0.0
cmd_pose,0.9994888,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,1.008267388,6.205929268806345e-05,0.00032585507326061085,-9.70379124098952,-0.0002248850322274469,-0.0008023730058933092,-0.008279633950365623,0.9999653760435556,0.0010119857221538482,-0.0003432168035931956,0.47719994143673866,0.0,0.0,0.0
mpu,1.008883509,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.015,0.015,8.73
odom,1.058856715,7.396270222436128e-05,0.00031839327933908174,-9.680456011712787,-0.00024430623965117295,-0.0008472000377421149,-0.00825632274469013,0.9999655272564614,0.0010182351403564389,-0.0003532781954032569,0.46980274293026153,0.0,0.0,0.0
cmd_pose,1.100478529,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mpu,1.108421723,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.02,8.795
odom,1.109182529,8.440719368281837e-05,0.000310884678050732,-9.657554957431197,-0.00026359176792042975,-0.0008883647223855403,-0.008233682741885878,0.9999656733088421,0.0010143667380041813,-0.00036705775592020225,0.4623616554253309,0.0,0.0,0.0
odom,1.159118756,9.483677987519884e-05,0.00030317613920844804,-9.634961211593108,-0.00028276833672690024,-0.0009257536310147891,-0.008210925466162783,0.9999658212785433,0.0010243116329880088,-0.0003835069118324889,0.45494675904561455,0.0,0.0,0.0
cmd_pose,1.199857589,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,1.211152507,0.00010653964186834055,0.00029535577931413104,-9.612775607774724,-0.0003017747699687375,-0.0009596746141960502,-0.008189030816700929,0.9999659632862041,0.0010574835775934814,-0.0003996109291932815,0.44779215001229095,0.0,0.0,0.0
mpu,1.212547367,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.05,0.01,8.9
odom,1.259623233,0.00011954667426995936,0.00028738956393253704,-9.590911356368707,-0.0003206551217876819,-0.0009899955647144415,-0.008166049573378185,0.99996611578765,0.001099422335843196,-0.0004142722219917047,0.44049708194886605,0.0,0.0,0.0
cmd_pose,1.301043313,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,1.310673909,0.00013242444413955106,0.0002794683440133279,-9.569441979433854,-0.0003392029917519264,-0.0010170780103746374,-0.008144776234218701,0.9999662559875436,0.0011235322139358768,-0.0004269583060457203,0.43333472256021077,0.0,0.0,0.0
mpu,1.311339944,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.03,-0.005,8.975
odom,1.360240286,0.00014433001919639344,0.0002716405912731816,-9.548256463736182,-0.00035760374838188626,-0.0010409515663909537,-0.008122965343235955,0.9999664024223155,0.0011219761308071206,-0.0004371893629348068,0.42654732772608683,0.0,0.0,0.0
cmd_pose,1.400092667,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,1.411724398,0.00015550633332130353,0.00026371386240367414,-9.5275092264365,-0.0003758747295726157,-0.0010615185103899434,-0.008100472059540077,0.9999665565652945,0.0011100238681153154,-0.00044799453187393276,0.41932591446323697,0.0,0.0,0.0
mpu,1.412379564,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.015,0.01,9.07
odom,1.460896169,0.00016620973712781786,0.000255820587798062,-9.507029916038263,-0.0003938998186752262,-0.0010790674637964626,-0.008079451960114465,0.9999667009017679,0.0011001528209274025,-0.00045884248460973753,0.4122638420092783,0.0,0.0,0.0
cmd_pose,1.500045818,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,1.513101321,0.00017733818286973758,0.000247801995182746,-9.486947143175312,-0.00041180579341104645,-0.001093623904033119,-0.008057501862891394,0.9999668549839412,0.0010996077780649274,-0.00046939281262467307,0.40561916016860594,0.0,0.0,0.0
mpu,1.515062381,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.02,0.03,9.145
odom,1.561392325,0.00018885114462675832,0.00023978586555344384,-9.467137316294577,-0.00042949011485667136,-0.0011053940723686467,-0.008036020217193416,0.9999670074663738,0.0011047695497650712,-0.00047951479590384284,0.39892427571562444,0.0,0.0,0.0
cmd_pose,1.600119668,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,1.612413033,0.00020070023034837303,0.00023165220812308482,-9.447705477967203,-0.0004469609036030174,-0.0011143681533600544,-0.008014401899434283,0.9999671633467591,0.001106806452034852,-0.0004890842830267514,0.39241488897102567,0.0,0.0,0.0
mpu,1.613445612,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.005,-0.005,9.36
odom,1.662189844,0.00021197286461207553,0.00022362133582734937,-9.428525376997875,-0.0004641228416490564,-0.0011209153581637117,-0.007994223213761448,0.9999673097326514,0.0010973357095498796,-0.0004974085655830353,0.3861176162953709,0.0,0.0,0.0
cmd_pose,1.69972567,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mpu,1.713475153,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.02,-0.03,9.395
odom,1.715250084,0.00022245151358874039,0.00021564312362170026,-9.409674572720576,-0.0004811573604369684,-0.0011250635148938506,-0.007972835232404076,0.9999674677798468,0.0010755043145237054,-0.0005040043422213331,0.3803072935906512,0.0,0.0,0.0
odom,1.762074451,0.00023231848173938124,0.00020777477058167392,-9.391084998910069,-0.0004980033039089322,-0.0011269283539178155,-0.007951763420759643,0.9999676252177842,0.0010511943255383008,-0.0005099436593081488,0.374402046660434,0.0,0.0,0.0
cmd_pose,1.799344474,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,1.812162902,0.00024204657419710023,0.00019982018699798214,-9.372844903251218,-0.0005147022213523388,-0.001126416249284983,-0.007929690796306524,0.9999677926173081,0.001031172228988035,-0.0005164453115553328,0.36829497503653447,0.0,0.0,0.0
mpu,1.81248131,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.015,0.01,9.48
odom,1.863539732,0.0002519203785890594,0.00019187119308757783,-9.354870587743838,-0.0005311502434015239,-0.0011237976953263477,-0.007908441666808229,0.9999679552408475,0.0010169415745017428,-0.0005233201271438073,0.36214239358233724,0.0,0.0,0.0
cmd_pose,1.900242044,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mpu,1.913724041,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.005,-0.025,9.545
odom,1.915368563,0.0002618426528315142,0.00018380962490713865,-9.337223367073728,-0.000547386217931708,-0.0011190575921716961,-0.007886617165610428,0.999968124166024,0.0010035621409934068,-0.0005300861989232556,0.3562136445751475,0.0,0.0,0.0
odom,1.964062713,0.00027141406132396217,0.00017581236660479884,-9.319825821468497,-0.0005633354028160952,-0.0011125032016082075,-0.007865748445735581,0.999968286992762,0.0009842074744080443,-0.0005359890669622868,0.3504459617404555,0.0,0.0,0.0
cmd_pose,1.999938155,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mpu,2.013907488,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.02,0.005,9.61
