source,time_since_cmd,x,y,z,qx,qy,qz,qw,vx,vy,vz,ax,ay,az
cmd_pose,6.9699e-05,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cmd_pose,0.002489357,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cmd_pose,0.005451213,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cmd_pose,0.007796727,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cmd_pose,0.009744529,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cmd_pose,0.012171881,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cmd_pose,0.017901432,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.031281736,-0.0012627893741123752,0.006880551027316023,-9.642762022874669,-0.0006271199736170819,0.0006142135184837199,-0.08651390227704843,0.9962502568005138,-0.0006602467275673228,-0.0004142171511458483,0.15001291400221242,0.0,0.0,0.0
mpu,0.031683331,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.0150000000000001,-0.38,11.385
odom,0.081098739,-0.00204878933618849,0.0055681235802075065,-9.633651007240598,-0.0005736922321310879,0.000596443052289046,-0.0839781687736725,0.9964672509933925,-0.006128872465527868,-0.015231083108580245,0.16689922517916206,0.0,0.0,0.0
cmd_pose,0.11655807,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.131883133,-0.0037037829153419902,0.0026939146347146293,-9.622686247779752,-0.00048110708993982874,0.0005590476304062954,-0.07792606394242807,0.9969588680382734,-0.01747261837379886,-0.045530219442834904,0.20068581713175543,0.0,0.0,0.0
mpu,0.13243888,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.61,-0.105,11.115
odom,0.183002145,-0.006014395328339032,-0.001725152193354005,-9.610086631497323,-0.0003365822671338931,0.0005107165477101425,-0.06881179244086054,0.9976294718491737,-0.028454932416896294,-0.07832356479695099,0.2355389944421035,0.0,0.0,0.0
cmd_pose,0.21626911,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.233380609,-0.008746550403682975,-0.007209752332059326,-9.59588746056643,-0.0001950595883533649,0.00045202211877776833,-0.05721287978890533,0.9983618802889167,-0.03704933887452352,-0.10505754067178852,0.2678812888563179,0.0,0.0,0.0
mpu,0.235564709,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.25,0.025,10.855
odom,0.287865935,-0.011118588259191403,-0.011345262134659823,-9.580352996651843,-0.0003947130086824851,0.00040710849598461893,-0.0436074706186646,0.9990485808861127,-0.04007959755549773,-0.10146731773085779,0.29724460546503095,0.0,0.0,0.0
cmd_pose,0.316563539,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.337972986,-0.013042226227981922,-0.014105026355195867,-9.563570047941427,-0.0008648749495438513,0.00038168433011322785,-0.028553902068823078,0.9995918071818305,-0.037004129614130715,-0.0726892557568655,0.3230810389851007,0.0,0.0,0.0
mpu,0.33826491,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.325,0.2,10.665000000000001
odom,0.388671594,-0.014248837619270132,-0.01569551154998481,-9.545911106875222,-0.0015266823839679613,0.0003676896151523314,-0.01251421602461585,0.9999204610580457,-0.028914980985647376,-0.04591509895025015,0.3443198327877908,0.0,0.0,0.0
cmd_pose,0.417347879,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mpu,0.4391629,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.20500000000000002,0.325,10.450000000000001
odom,0.44027485,-0.014712301204730808,-0.01654940995731839,-9.527214446944198,-0.002234482491961704,0.0003606141877646906,0.003556515622120191,0.9999911140815354,-0.01627700593183148,-0.026137665506936563,0.3634685978277147,0.0,0.0,0.0
odom,0.491412367,-0.014185903389618141,-0.018547346977979155,-9.506736519433318,-0.0025602134615677814,0.00035826518736120546,0.016262956685834076,0.9998644074037847,-0.00010836705217921669,-0.0304438274024869,0.3916088952466895,0.0,0.0,0.0
cmd_pose,0.516846088,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.54223073,-0.012690833483344483,-0.021913777573041714,-9.484531938873216,-0.002532847897759656,0.00034804936700306847,0.025981854493780775,0.9996591452991509,0.01784559733595223,-0.05656891784385518,0.4265590384917191,0.0,0.0,0.0
mpu,0.542923102,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.965,0.32,10.545
odom,0.59143523,-0.010308600850585412,-0.027023069181596547,-9.460634894069022,-0.0021629661033484644,0.0003178380848377016,0.03310184030779255,0.9994495928884183,0.03368087198890242,-0.08901456946729931,0.4606196330711632,0.0,0.0,0.0
cmd_pose,0.617226285,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.641958049,-0.0071949603184876705,-0.0332697949867473,-9.435205522466497,-0.0016042962948206187,0.00022860267852258914,0.0378628314949011,0.9992816319563782,0.046823527085326375,-0.11904395991975832,0.4928172365597628,0.0,0.0,0.0
mpu,0.644184042,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7000000000000001,0.105,10.355
odom,0.693571659,-0.003991334744997242,-0.03799755746492256,-9.408128804762278,-0.001167038932566843,5.76447419859755e-05,0.039319982625947054,0.9992259872839121,0.054524800163056254,-0.11582823177019216,0.5247189858251764,0.0,0.0,0.0
cmd_pose,0.717875445,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.743565953,-0.0008056701929569492,-0.04110092929303252,-9.379510674287582,-0.0008101295402677169,-0.0001604930991362149,0.037308137650775446,0.999303467820023,0.05755075345868603,-0.0842806167187847,0.5567579461701648,0.0,0.0,0.0
mpu,0.743812682,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.075,0.005,10.5
odom,0.793741253,0.0022311183470056337,-0.04249368934204002,-9.34931000819325,-0.0004885872065647112,-0.0004243207568150677,0.03150762542266722,0.9995033020328957,0.05890159186049526,-0.05027456597882679,0.5880827040231102,0.0,0.0,0.0
cmd_pose,0.816157306,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.844056058,0.005154431347898454,-0.04227831549777413,-9.317768509793755,-0.00020758480494267498,-0.0007331474363698926,0.022409578825035,0.999748583485003,0.05916854174009749,-0.01593665883612668,0.6173477186586384,0.0,0.0,0.0
mpu,0.844662145,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.305,0.03,10.34
odom,0.894166882,0.008032291175569263,-0.04052210953422328,-9.285097789861577,6.3734530965693215e-06,-0.0010892891384915615,0.010671971857777999,0.999942459557158,0.05955636260885955,0.017007975635607953,0.6420332517676327,0.0,0.0,0.0
cmd_pose,0.917073812,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.94543984,0.010962185723173336,-0.037165144094456475,-9.251163836209331,2.2265123478747963e-05,-0.0015015333691918444,-0.0014702513652273038,0.9999977916289258,0.0602733451813965,0.05002562690897838,0.6659103644175206,0.0,0.0,0.0
mpu,0.945997577,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.1500000000000001,0.165,10.97
odom,0.995453319,0.014165155582699776,-0.032010985205544615,-9.215602694329386,-0.0004151223979553378,-0.0019745234738697127,-0.009630320878964062,0.9999515917534278,0.06296274663014807,0.08525047873652392,0.6947754821435451,0.0,0.0,0.0
cmd_pose,1.016195903,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,1.045029649,0.017800613306686114,-0.02509527442274541,-9.178588945003634,-0.00122016149063971,-0.0024911709042640794,-0.014442777392186116,0.9998918498791068,0.06885042851850791,0.12126905269886672,0.7256131100149361,0.0,0.0,0.0
mpu,1.045336203,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.91,0.35000000000000003,10.835
odom,1.095604206,0.02220958965079311,-0.016493741606693958,-9.140393572599733,-0.0023308225984803588,-0.0030501188030844775,-0.016456817837106938,0.9998572083992683,0.07977858166241755,0.15542245619587342,0.7521237152489824,0.0,0.0,0.0
cmd_pose,1.11679695,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,1.145756568,0.027362999313824382,-0.007293131945451488,-9.101047425574015,-0.003551774925099451,-0.003646671242634064,-0.015692136425869054,0.9998639125091582,0.09474811359856403,0.17723148706468628,0.775700883520863,0.0,0.0,0.0
mpu,1.146133475,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.36,0.425,10.955
odom,1.195868308,0.03322652322040909,0.00032173074721473377,-9.060646946161688,-0.004649529169335918,-0.004307092484413168,-0.011623487999081696,0.9999123588392982,0.11108763224540472,0.16558210794632086,0.797829165944151,0.0,0.0,0.0
cmd_pose,1.21645163,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mpu,1.24622967,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.735,0.39,11.165000000000001
odom,1.247608977,0.03977505848679587,0.00632949409928606,-9.0191384858946,-0.005631161089991485,-0.005057090452255961,-0.00465987979480744,0.9999604999104885,0.12837237624281114,0.13106676082895657,0.8192153469292339,0.0,0.0,0.0
odom,1.297903689,0.04702974399726347,0.010902184142970879,-8.976602904032301,-0.00652618037836247,-0.00591307105429448,0.004525437738353801,0.9999509812854089,0.14583302654286984,0.09709427241931316,0.840108223248442,0.0,0.0,0.0
cmd_pose,1.316387062,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,1.347576082,0.05493734604289266,0.014072643434812866,-8.93311578298398,-0.00723931759677454,-0.006882357126867895,0.013953883611780184,0.9998527464448254,0.16258781935507483,0.06426213496552585,0.8592416831589784,0.0,0.0,0.0
mpu,1.349494807,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.1500000000000001,0.395,10.94
odom,1.398380226,0.0634560096360702,0.015829737906434476,-8.889064960495597,-0.007508066159841395,-0.007988462154782893,0.019449158895581214,0.9997507407515113,0.177526616621128,0.031811243090682395,0.8735497765926563,0.0,0.0,0.0
cmd_pose,1.417182647,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,1.446983269,0.0725284404409272,0.016139798135026882,-8.844445436855699,-0.007375645755812229,-0.009236811408341124,0.021395305163202625,0.9997012164050142,0.19065748649488098,0.0004095034328948866,0.8838696670935263,0.0,0.0,0.0
