source,time_since_cmd,x,y,z,qx,qy,qz,qw,vx,vy,vz,ax,ay,az
cmd_pose,0.000107863,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.030008801,-0.00022608248724358465,-5.3924636182987476e-05,-9.913888258686548,1.607767004678398e-05,0.0005964513162767275,-0.0015429114103828656,0.9999986317049216,-0.0006579004634371136,-1.9699684695489605e-05,0.1552481558737762,0.0,0.0,0.0
odom,0.081088834,-0.000403079955631357,-5.043004816382553e-05,-9.899346985616788,2.6932707551490422e-05,0.0005580051573997115,-0.0016536621352252927,0.9999984766520478,-0.002488125959075319,2.4898636089446033e-05,0.23311427175464802,0.0,0.0,0.0
mpu,0.082205932,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.06,-0.05,10.040000000000001
cmd_pose,0.099658475,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.132174816,-0.0006223291616572453,-4.102988294782545e-05,-9.878944555768992,3.087474961505411e-05,0.0004987092709744566,-0.0017433191660417556,0.999998355585697,-0.004343125083671379,0.0001339285005389673,0.3494324875475182,0.0,0.0,0.0
mpu,0.180758964,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.06,0.095,9.785
odom,0.181490092,-0.0007951625456273284,-2.7967702535708642e-05,-9.853670514262264,2.9369149871541575e-05,0.00042242298759970367,-0.001804711785182075,0.9999982818543465,-0.004363897721327033,0.00023763585209243617,0.45676060295346216,0.0,0.0,0.0
cmd_pose,0.198854162,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.231058549,-0.0008614835596249018,-1.6825789456543905e-05,-9.82385291700979,2.5954114438392054e-05,0.00033096391395939036,-0.0018430742601917712,0.999998246431734,-0.002840755687592119,0.00026433776180782755,0.5509140987657972,0.0,0.0,0.0
odom,0.281897056,-0.000843065398447878,-9.738822396311189e-06,-9.79055293457183,2.3819609329329235e-05,0.00022370249521295096,-0.0018658327739398484,0.9999982340273804,-0.0008769106777308813,0.00021247518910627125,0.631175241486397,0.0,0.0,0.0
mpu,0.282702024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.05,0.065,9.435
cmd_pose,0.298381055,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.33111506,-0.0008122732688256387,-6.202068004643147e-06,-9.75406916406775,2.448214680407037e-05,0.00010037016498495523,-0.0018802203665953792,0.9999982270473421,0.00020425323452729328,0.0001416331426419497,0.697837640940991,0.0,0.0,0.0
odom,0.382198907,-0.0007908574760463841,-4.162344962821733e-06,-9.715306011607623,2.5176014647816892e-05,-3.710387060057453e-05,-0.0018887116597533207,0.9999982153772763,0.0003980452699920858,9.454640677124863e-05,0.7524693131565475,0.0,0.0,0.0
mpu,0.382959055,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.055,0.005,9.02
cmd_pose,0.398965268,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.431724684,-0.000780842693895335,-1.5042291462107308e-06,-9.67441336176876,2.4906866307541225e-05,-0.00018646506469286041,-0.001893136071514,0.9999981903214837,0.00040321330925990363,8.818060919906646e-05,0.7965579914751302,0.0,0.0,0.0
odom,0.482641175,-0.0007614584242319886,2.1371549144133595e-06,-9.632130810235013,2.3343102390801807e-05,-0.0003457489172757854,-0.001894734076787721,0.9999981449460614,0.0006352661882970123,0.00010565864953478419,0.831751787141477,0.0,0.0,0.0
mpu,0.483589383,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.08,0.055,8.65
cmd_pose,0.499504477,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.532159611,-0.0007161996858285742,6.567663129708554e-06,-9.588449561180902,2.1082211952611697e-05,-0.0005139065673432607,-0.001895566093246308,0.999998071140523,0.001274168020154608,0.00012393675112792229,0.85963723044345,0.0,0.0,0.0
odom,0.583030725,-0.0006395016714256701,1.0902798562419182e-05,-9.543981364404287,1.8805754987483136e-05,-0.0006906075886167059,-0.0018981949836566125,0.9999979597795718,0.0021600342411817915,0.00013085220113106673,0.8814925634453703,0.0,0.0,0.0
mpu,0.583689541,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.025,0.03,8.375
cmd_pose,0.599266292,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.64788458,-0.0005288988732098137,1.45233155268732e-05,-9.498584652641354,1.683038962015797e-05,-0.0008756663811964881,-0.0019051099288136448,0.9999978017382268,0.0031510428910058765,0.00012262064339539305,0.8986454128171835,0.0,0.0,0.0
odom,0.69849644,-0.0003892363440539753,1.7136949394876944e-05,-9.452790919259249,1.562780710782933e-05,-0.001069136271214075,-0.0019185480669075446,0.9999975879354511,0.004137625247038543,0.00010567477014750877,0.9118984043909972,0.0,0.0,0.0
cmd_pose,0.699278593,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mpu,0.700828745,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.08,0.035,8.13
odom,0.749239547,-0.00023257332926506497,1.8989105595959213e-05,-9.406355922799442,1.5314039482809992e-05,-0.0012707807379160375,-0.0019399529105924593,0.9999973107286344,0.004975688713567633,8.900226197549029e-05,0.9222785674554721,0.0,0.0,0.0
odom,0.79949577,-5.4849264773161976e-05,2.0308546972698314e-05,-9.35977057759117,1.535270310703825e-05,-0.0014800492766376524,-0.0019704982277435174,0.9999969631729727,0.005749006503235887,7.804011520764134e-05,0.930191578293841,0.0,0.0,0.0
cmd_pose,0.80183206,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mpu,0.80490578,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.02,0.055,7.94
odom,0.854889746,0.00014334848481809969,2.1398866046572223e-05,-9.312711741164286,1.58265265411027e-05,-0.0016965095880529793,-0.0020111820789209755,0.9999965383697006,0.006574316890445469,7.34696297945207e-05,0.9364262009992126,0.0,0.0,0.0
cmd_pose,0.899185506,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mpu,0.906141123,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.05,0.08,7.71
odom,0.907394633,0.000361164831945765,2.2442310508760874e-05,-9.265659156382341,1.689292638603966e-05,-0.001919895647031538,-0.0020627041206129093,0.9999960294756396,0.007396911073564503,7.489778943966315e-05,0.9410942465018503,0.0,0.0,0.0
odom,0.955317971,0.0006030927181073671,2.3521075576989908e-05,-9.218225916027597,1.8296077435465553e-05,-0.0021497660729968785,-0.00212604028756981,0.9999954290514436,0.008271153105791493,8.021966651088586e-05,0.9448331311933356,0.0,0.0,0.0
cmd_pose,0.999171379,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,1.006560912,0.000867283027332709,2.4673747737341973e-05,-9.170900956219127,2.0368455445366315e-05,-0.0023860461365905064,-0.0022018133233008014,0.999994729179634,0.009181159772709179,8.80752638848848e-05,0.94755092970297,0.0,0.0,0.0
mpu,1.007345141,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.065,0.075,7.5
odom,1.061086641,0.001157038883008591,2.5935935209961157e-05,-9.12324191085881,2.2836265878260068e-05,-0.0026284049409109156,-0.0022909175513651423,0.999993921312897,0.010120155564748662,9.81576644369381e-05,0.9498021743209352,0.0,0.0,0.0
cmd_pose,1.098480177,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mpu,1.11081703,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.055,0.06,7.305
odom,1.111404157,0.0014734873508114015,2.730372339447902e-05,-9.075760870515865,2.5987207805717208e-05,-0.002876869821615846,-0.0023941331529106257,0.9999929955110388,0.011111272815282574,0.00011012400699678946,0.9513551542780311,0.0,0.0,0.0
odom,1.162794916,0.0018072072321523812,2.8798689243282427e-05,-9.027963807607122,2.9948479930653987e-05,-0.003131274396475388,-0.002511630026587886,0.9999919429367179,0.012033952586598364,0.00012388520181271168,0.9527271143604906,0.0,0.0,0.0
cmd_pose,1.198400154,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,1.212130446,0.0021656100483727686,3.054804489234629e-05,-8.980396051260108,3.4339888761251685e-05,-0.0033913508612247634,-0.002643965010153712,0.9999907534618174,0.012943268051624707,0.00014080017222077134,0.9535853337189051,0.0,0.0,0.0
mpu,1.212802028,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.04,0.105,7.065
odom,1.261632251,0.0025404936428049616,3.258236857813121e-05,-8.932512376596241,3.9408731287083975e-05,-0.003656886531783375,-0.0027910546534335562,0.9999894177648917,0.013859151308984258,0.00016106653576773662,0.9544417476616871,0.0,0.0,0.0
cmd_pose,1.298348485,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
