source,time_since_cmd,x,y,z,qx,qy,qz,qw,vx,vy,vz,ax,ay,az
cmd_pose,4.8395e-05,0.0,0.0,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mpu,0.003837161,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.05,0.005,9.855
odom,0.004296126,-0.03512751674901747,-0.09439489461099693,-9.843534782464236,-0.004210685968019764,0.0011538775533833235,-0.16414304059871312,0.9864268857413,-0.005337838331362238,-0.02192986717088971,0.1331684102165755,0.0,0.0,0.0
odom,0.053543683,-0.035680477210556026,-0.0952832401301521,-9.836785161360266,-0.004014406103218696,0.0011635727811510125,-0.16516009869003426,0.9862579137541658,-0.004982456394932604,-0.021668410279705508,0.13427469230347436,0.0,0.0,0.0
cmd_pose,0.099716162,0.0,0.0,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mpu,0.105748065,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.03,-0.04,11.98
odom,0.107652208,-0.036236289488751704,-0.0961606775361032,-9.829089850383836,-0.003788316823486606,0.0011610453779856349,-0.16588172792614775,0.9861376947310708,-0.004869250916728225,-0.021495841456668108,0.14427210560174997,0.0,0.0,0.0
odom,0.154814897,-0.03684583752906972,-0.09701596945595885,-9.818737985955405,-0.0034577598155765823,0.0011266413060028334,-0.16541823306287545,0.9862168031152083,-0.005539043984262198,-0.02157458567491246,0.18030401191890622,0.0,0.0,0.0
cmd_pose,0.200754805,0.0,0.0,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.206333225,-0.03750624516889352,-0.09785397610492312,-9.805701750679676,-0.003040943367996772,0.0010663276932677064,-0.1637252716554565,0.9865007101011283,-0.006745567258833808,-0.02178790502674041,0.23372529336374487,0.0,0.0,0.0
mpu,0.207033853,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.045,-0.015,11.665000000000001
odom,0.254753032,-0.03821027166490378,-0.09868129500213693,-9.790279054501502,-0.0025744382021644645,0.0009882888785025371,-0.1608356362332476,0.9869773521568174,-0.007866576475877766,-0.021921380777413128,0.2844494528444036,0.0,0.0,0.0
cmd_pose,0.300326843,0.0,0.0,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mpu,0.306960436,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.06,0.0,11.635
odom,0.309022298,-0.038940438920762765,-0.09950823674032788,-9.7724167260777,-0.0020751187454527823,0.0008976596209145156,-0.15681575114609442,0.9876252873847872,-0.00874327635437463,-0.02197356279168352,0.33272908576525484,0.0,0.0,0.0
odom,0.355964532,-0.039656711045160456,-0.10035157635589229,-9.752242475016127,-0.0015784802193253298,0.0008000074402730116,-0.1516879512558716,0.9884268479923484,-0.009031466929601297,-0.021963103150579213,0.380265411650268,0.0,0.0,0.0
cmd_pose,0.401398995,0.0,0.0,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.407183453,-0.0403155474682888,-0.10122643851407388,-9.72963653494343,-0.0011036839185879705,0.0006989914848480375,-0.14549307096343136,0.9893584080576371,-0.008466099171563216,-0.02189029937388191,0.4277235698309202,0.0,0.0,0.0
mpu,0.407926673,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.13,0.035,11.290000000000001
odom,0.455829114,-0.04086776407450337,-0.10214897628860937,-9.704779413800198,-0.0006714698865471015,0.0005944534161487024,-0.13824909821644357,0.9903970832931949,-0.00695807754581583,-0.02177988994522769,0.47457451878806045,0.0,0.0,0.0
cmd_pose,0.501096283,0.0,0.0,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.50759514,-0.04126400655831389,-0.10313090900164731,-9.677604661927745,-0.0002915984074412375,0.0004863310300326925,-0.13000660048077017,0.9915129662712089,-0.00445517500973552,-0.02165323764799795,0.5202841622214748,0.0,0.0,0.0
mpu,0.508733302,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.065,0.1,10.935
odom,0.556022092,-0.04144400342491007,-0.10418335685340671,-9.648221968206439,2.242869743106753e-05,0.000370177047882776,-0.12076940313771571,0.9926805194682057,-0.0008579177740939843,-0.021526240034196953,0.5655597964331236,0.0,0.0,0.0
cmd_pose,0.60090525,0.0,0.0,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mpu,0.609089223,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.085,0.11,10.57
odom,0.610967951,-0.041379231188830926,-0.10530548440793357,-9.61662044948686,0.0002707137983088743,0.0002385130763402388,-0.11059271630207747,0.9938657459267223,0.0036134051916985885,-0.021424440452554847,0.6098444431856298,0.0,0.0,0.0
odom,0.657108033,-0.04103140586952737,-0.10649406344387834,-9.582848783233866,0.0004435285112484005,8.661368727832253e-05,-0.0994717008277744,0.9950402888903337,0.008727696678561247,-0.021360443852453167,0.6537467360122934,0.0,0.0,0.0
cmd_pose,0.700423301,0.0,0.0,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.707189593,-0.04040177892263591,-0.10773475228262207,-9.54695058792236,0.0005431156342742352,-9.246346604895983e-05,-0.087465275771858,0.9961674166574954,0.01418567928446128,-0.02134556650441588,0.6967200269406406,0.0,0.0,0.0
mpu,0.707754959,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.105,0.13,10.27
odom,0.758629578,-0.039487967420840375,-0.10901152726818343,-9.508911890671147,0.0005664983104214694,-0.0003067283609670264,-0.0745623095226197,0.9972161485836608,0.019635172770151997,-0.02139400744753354,0.7393891165330805,0.0,0.0,0.0
cmd_pose,0.799781487,0.0,0.0,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.80905055,-0.03830112905851126,-0.11030534747387975,-9.469008015473797,0.0005235975346859808,-0.00056280959144833,-0.06089435254842517,0.9981439209446168,0.024999082147144937,-0.021514797341669008,0.7794355692327322,0.0,0.0,0.0
mpu,0.809693583,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.1,0.15,9.955
odom,0.858875689,-0.03685072531537416,-0.11159664278937702,-9.427307925163277,0.00041905680960855875,-0.0008668826149027984,-0.04652204143792464,0.9989167996216554,0.030186613755562457,-0.021710346090404408,0.8160288407144686,0.0,0.0,0.0
cmd_pose,0.899736141,0.0,0.0,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mpu,0.909032029,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.095,0.1,9.65
odom,0.909809403,-0.03516201595713865,-0.11286480603903024,-9.384302311703424,0.0002664310489142498,-0.0012227446328323948,-0.03162803933166927,0.9994989249809594,0.035080208123554904,-0.021975368955672737,0.8470144944807343,0.0,0.0,0.0
odom,0.958843185,-0.033258318913968105,-0.11409260902740469,-9.340161886065076,7.741134452043689e-05,-0.001632206319024184,-0.016362778777702924,0.99986478554887,0.03956819288219636,-0.022310800584314346,0.8713748912181074,0.0,0.0,0.0
cmd_pose,1.000012642,0.0,0.0,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,1.009362759,-0.03115786284669066,-0.11527830747520407,-9.295253996376744,-6.46580885080051e-05,-0.00209174088202131,-0.0020931864394645445,0.9999956194953774,0.043754788583819766,-0.022786806237211667,0.8903441624612517,0.0,0.0,0.0
mpu,1.010158209,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.14,0.1,9.4
odom,1.059098129,-0.028877652532104586,-0.11642224220815209,-9.249633880708714,-0.00013700565056616867,-0.0025958160123313928,0.010751740233405502,0.9999388196538003,0.047745821177221856,-0.023355994780043198,0.9050792759658999,0.0,0.0,0.0
